budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
145000000.0,en,44.989192,93.0,Released,6.4,1808,2012,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.333333333333333
140000000.0,en,54.159392,133.0,Released,5.8,1092,2002,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
144000000.0,en,66.21806,116.0,Released,5.3,2142,2016,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
140000000.0,en,58.485967,151.0,Released,6.4,2482,1998,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12.0
140000000.0,en,91.332849,88.0,Released,6.0,3114,2002,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0
70000000.0,en,35.601665,115.0,Released,5.5,841,2007,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
145000000.0,en,56.747978,95.0,Released,6.7,1603,2016,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
145000000.0,en,77.77477,133.0,Released,6.8,3972,2011,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
145000000.0,en,61.788035,97.0,Released,7.1,1922,2012,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0
100000000.0,en,25.159168,90.0,Released,5.9,627,2005,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
140000000.0,en,52.341226,154.0,Released,7.3,1895,2003,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,7.0
140000000.0,en,101.599427,150.0,Released,5.6,1921,2014,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0
150000000.0,en,73.616808,127.0,Released,7.4,4518,2009,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
139000000.0,en,82.502566,121.0,Released,6.8,5265,2002,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
145000000.0,en,100.21391,102.0,Released,7.6,3106,2014,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0
